filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
74fr39900.pdf,2,u.s. government printing office,31,False,0,5,5,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,False,D:20090808011327Z,True,0,2,acomp.exe   winver 2.0  nov 24 2008,35,False,8,10,8,224242,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20090810153049-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,acrobat distiller 8.1.0 (windows),33,False,3,7,3,0,0,0,0,59408,0,extracted pages,15,False,0,1,2,0,document,8,False,0,0,1,0
63fr71785.pdf,2,u.s. government printing office,31,False,0,5,5,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False,D:19981230074839,False,0,0,,0,False,0,0,0,31205,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:19981230162844,False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,acrobat net distiller 1.0 for windows,37,False,2,6,4,0,0,0,0,30264,0,extracted pages,15,False,0,1,2,0,document,8,False,0,0,1,3
409a_presentation.pdf,0,dj,2,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,D:20080825143053-04'00',False,0,1,acrobat pdfmaker 8.1 for powerpoint,35,False,2,5,7,83,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20080825143216-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,acrobat distiller 8.1.0 (windows),33,False,3,7,3,0,0,0,0,57960,0,,0,False,0,0,0,0,409a – faq on 10 vs 12 months pay,33,False,7,9,4,5
74fr39900.pdf,2,u.s. government printing office,31,False,0,5,5,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,False,D:20090808011327Z,True,0,2,acomp.exe   winver 2.0  nov 24 2008,35,False,8,10,8,224242,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20090810153049-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,acrobat distiller 8.1.0 (windows),33,False,3,7,3,0,0,0,0,59408,0,extracted pages,15,False,0,1,2,0,document,8,False,0,0,1,2
63fr71785.pdf,2,u.s. government printing office,31,False,0,5,5,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False,D:19981230074839,False,0,0,,0,False,0,0,0,31205,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:19981230162844,False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,acrobat net distiller 1.0 for windows,37,False,2,6,4,0,0,0,0,30264,0,extracted pages,15,False,0,1,2,0,document,8,False,0,0,1,6
409a_presentation.pdf,0,dj,2,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,D:20080825143053-04'00',False,0,1,acrobat pdfmaker 8.1 for powerpoint,35,False,2,5,7,83,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20080825143216-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,acrobat distiller 8.1.0 (windows),33,False,3,7,3,0,0,0,0,57960,0,,0,False,0,0,0,0,409a – faq on 10 vs 12 months pay,33,False,7,9,4,2
112metalitz.pdf,2,u.s. copyright office,21,False,0,4,4,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,False,D:00000101000000Z,True,0,0,microsoft word ,15,False,0,2,2,0,False,False,0,0,"copyright, anticircumvention, 1201",34,False,4,4,0,0,0,0,0,0,0,0,False,D:20020429125257-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,acrobat pdfwriter 3.02 for windows,34,False,3,5,6,0,0,0,0,83369,0,reply comments on exemption to prohibition on circumvention measures,68,False,0,8,6,0,reply comments on exemption to prohibition on circumvention measures,68,False,0,8,6,2
081401.pdf,0,internal revenue service,24,False,0,2,3,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,False,D:20010905151553Z,True,0,1,microsoft word - exclusivity memo to field.doc,46,False,0,8,2,115434575,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20050503162528-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,apsetdocinfo 1.9 solaris spdf_1086 aug  7 2003,46,False,11,9,11,0,0,0,0,23620,0,,0,False,0,0,0,2,a:\081401.prn.pdf,17,False,6,4,1,5
20101107-A-Stankrauff.pdf,0,it setup,8,False,0,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,D:20101107213343-05'00',False,0,1,acrobat pdfmaker 9.1 for word,29,False,2,5,6,45,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20101107213428-05'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,adobe pdf library 9.0,21,False,2,4,5,0,0,0,0,26311,0,,0,False,0,0,0,0,,0,False,0,0,0,6
a-00-20.pdf,0,,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,False,D:20000427002407,False,0,0,,0,False,0,0,0,1,False,False,0,0,,0,False,0,0,0,0,0,0,0,0,0,0,False,D:20000427002408-04'00',False,0,0,,0,False,0,0,0,0,,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,acrobat distiller 4.0 for windows,33,False,2,5,3,0,0,0,0,39514,0,,0,False,0,0,0,0,,0,False,0,0,0,6
